author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ID 17851194;homeowner;https://volokolamsk.cian.ru/sale/flat/191502054/;Московская Область;sale;flat;4;5;4;62.0;6100000;1974;-1;-1;-1;-1;45,9 м²;5,7 м²;+79060425824;Волоколамск;Рижское шоссе;21;;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/302837494/;Московская Область;sale;flat;6;6;4;83.5;18036000;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;56,9 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
МИЭЛЬ офис В Солнечногорске;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/298298232/;Московская Область;sale;flat;4;9;4;67.0;7199000;-1;-1;-1;-1;-1;46 м²;6 м²;+79851822797;;;;;
ФСК;developer;https://vidnoye.cian.ru/sale/flat/292668295/;Московская Область;sale;flat;9;10;4;101.7;20706120;2024;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;57,4 м²;12,7 м²;+74951377570;;;;;Римский
ВРЕМЯ РЕШЕНИЙ;real_estate_agent;https://korolev.cian.ru/sale/flat/304469164/;Московская Область;sale;flat;8;9;4;62.4;8500000;1976;-1;-1;-1;-1;46,1 м²;5,9 м²;+79645361627;;проспект Королева;9А;Медведково;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/302837408/;Московская Область;sale;flat;5;6;4;82.9;14424600;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;56,9 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
Мария Юрова;realtor;https://vidnoye.cian.ru/sale/flat/305334904/;Московская Область;sale;flat;7;9;4;63.5;10300000;-1;-1;-1;-1;-1;47,1 м²;6 м²;+79150218525;;;;;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/293544943/;Московская Область;sale;flat;6;6;4;70.9;13187400;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;46,8 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306074507/;Московская Область;sale;flat;6;9;4;69.0;10500000;1986;-1;-1;-1;-1;45 м²;6 м²;+79672965868;;Комсомольский проспект;9;Люберцы;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/301555527/;Московская Область;sale;flat;6;6;4;104.3;18887687;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;55,9 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
ID 38719574;unknown;https://krasnogorsk.cian.ru/sale/flat/301859372/;Московская Область;sale;flat;5;6;4;100.0;11000000;-1;-1;-1;-1;-1;64 м²;23 м²;+79645569538;д. Сабурово; Рождественская;;;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/285450891/;Московская Область;sale;flat;5;6;4;79.7;13867800;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;50 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
Центр оформления недвижимости Радмила;real_estate_agent;https://sergiyev-posad.cian.ru/sale/flat/307392716/;Московская Область;sale;flat;13;17;4;114.0;14850000;-1;-1;-1;-1;-1;60,8 м²;11 м²;+79851559313;мкр. Северный;проспект Красной Армии;247;;Проспект Красной Армии 247
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/290836921/;Московская Область;sale;flat;4;5;4;72.3;13230900;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;67,3 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
ТАНДЕМ;real_estate_agent;https://balashikha.cian.ru/sale/flat/304967465/;Московская Область;sale;flat;2;3;4;122.4;15500000;-1;-1;-1;-1;-1;72,7 м²;17,4 м²;+79857429920;;Объездное шоссе;1;Салтыковская;
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/305886274/;Московская Область;sale;flat;15;25;4;100.9;18359562;2022;-1;Панельный, монолитный;-1;Предчистовая, чистовая;57 м²;15,4 м²;+74951377003;; Рождественская;4;Люберцы;1-й Лермонтовский
ID 95976486;homeowner;https://odintsovo.cian.ru/sale/flat/307386197/;Московская Область;sale;flat;7;25;4;84.1;19500000;2019;-1;-1;-1;-1;-1;19 м²;+79639960053;; Сколковская;5А;Сколково;Сколковский
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/301555986/;Московская Область;sale;flat;6;6;4;121.2;25808328;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;51,6 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
ID 15578369;unknown;https://balashikha.cian.ru/sale/flat/308910069/;Московская Область;sale;flat;4;4;4;145.2;19900000;2015;-1;-1;-1;-1;91,1 м²;22 м²;+79660560411;; Соловьева;5к1;Кучино;Леоновский парк
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/307338378/;Московская Область;sale;flat;2;5;4;70.8;12673200;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;65,8 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
ID 102805175;realtor;https://mytishchi.cian.ru/sale/flat/304021224/;Московская Область;sale;flat;7;25;4;102.0;20750000;2016;-1;-1;-1;-1;54 м²;22 м²;+79645682909;; Борисовка;18;Медведково;Ярославский
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/285451286/;Московская Область;sale;flat;1;5;4;77.9;15813700;2023;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;72,9 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
Ольга Соколова;realtor;https://krasnogorsk.cian.ru/sale/flat/305798291/;Московская Область;sale;flat;4;25;4;116.0;22900000;2012;-1;-1;-1;-1;76 м²;15 м²;+79057206564;;Ильинское шоссе;14;Павшино;Ильинский парк
1-й ДСК;developer;https://vidnoye.cian.ru/sale/flat/294796625/;Московская Область;sale;flat;7;24;4;108.2;19276912;2025;-1;Панельный, монолитный;-1;Предчистовая, чистовая;69 м²;15,5 м²;+74951377053;;;;;1-й Донской
Ордер;real_estate_agent;https://reutov.cian.ru/sale/flat/259455857/;Московская Область;sale;flat;2;17;4;140.0;23500000;2004;-1;-1;-1;-1;97 м²;17 м²;+79163816909;;Молодежная ;4;Новокосино;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/285451132/;Московская Область;sale;flat;5;6;4;79.2;14889600;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;49,5 м²;-1;+74951374123;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 минут.

Особенности ЖК:

- Малоэтажная застройка: 4-6 этажей;
- Благоустроенный пешеходный бульвар;
- Пространства для отдыха и спорта;
- Квартиры с террасами на последних этажах;
- Квартиры с отдельным входом на первых этажах;
- Внутренняя территория квартала свободна от машин;
- Безбарьерная среда;
- Помещения для хранения детских колясок и спортивного инвентаря.";;;Равновесие
ФСК Агент;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308694537/;Московская Область;sale;flat;8;25;4;83.5;18600000;2023;-1;-1;-1;-1;47,1 м²;13,6 м²;+79169767187;; Рождественская;8;Люберцы;1-й Лермонтовский
